SOC	VBAT	VHA
0	3.414	1.138
1	3.428	1.142566667
2	3.437	1.1457
3	3.444	1.148033333
4	3.450	1.150033333
5	3.455	1.1516
6	3.460	1.1532
7	3.465	1.1549
8	3.470	1.1566
9	3.478	1.1593
10	3.487	1.162366667
11	3.498	1.1659
12	3.507	1.169133333
13	3.516	1.171833333
14	3.524	1.174633333
15	3.532	1.177333333
16	3.538	1.179333333
17	3.544	1.1814
18	3.550	1.183466667
19	3.556	1.1853
20	3.562	1.187166667
21	3.568	1.189266667
22	3.573	1.191
23	3.578	1.192533333
24	3.582	1.194033333
25	3.586	1.195466667
26	3.591	1.196866667
27	3.594	1.198066667
28	3.598	1.199266667
29	3.601	1.200433333
30	3.605	1.201533333
31	3.608	1.202633333
32	3.611	1.203766667
33	3.615	1.204966667
34	3.619	1.206166667
35	3.622	1.207266667
36	3.625	1.2083
37	3.628	1.209333333
38	3.631	1.210466667
39	3.635	1.2118
40	3.639	1.2131
41	3.643	1.2144
42	3.647	1.215733333
43	3.651	1.217066667
44	3.655	1.218333333
45	3.659	1.219633333
46	3.665	1.221533333
47	3.671	1.2236
48	3.676	1.2252
49	3.681	1.226866667
50	3.688	1.2293
51	3.695	1.2315
52	3.701	1.233733333
53	3.710	1.236666667
54	3.718	1.2394
55	3.730	1.2434
56	3.738	1.246066667
57	3.751	1.250433333
58	3.759	1.253
59	3.772	1.257233333
60	3.779	1.259666667
61	3.787	1.2624
62	3.797	1.265733333
63	3.806	1.268633333
64	3.816	1.271833333
65	3.825	1.274966667
66	3.834	1.277933333
67	3.843	1.2811
68	3.853	1.2843
69	3.863	1.287666667
70	3.871	1.2903
71	3.882	1.2939
72	3.889	1.2964
73	3.900	1.3001
74	3.908	1.302633333
75	3.917	1.305533333
76	3.926	1.3087
77	3.935	1.311633333
78	3.944	1.314733333
79	3.954	1.318033333
80	3.963	1.321033333
81	3.973	1.3244
82	3.983	1.327733333
83	3.994	1.3313
84	4.003	1.3344
85	4.014	1.337933333
86	4.023	1.341066667
87	4.034	1.344666667
88	4.044	1.347966667
89	4.055	1.3515
90	4.065	1.3549
91	4.075	1.358466667
92	4.086	1.361966667
93	4.098	1.3659
94	4.108	1.3694
95	4.121	1.373766667
96	4.132	1.377366667
97	4.144	1.381466667
98	4.157	1.385666667
99	4.171	1.3903
100	4.200	1.4
